Student Name,Schedule Date,Time Slot,Course,Reason,Comment
kyle,2025-06-03,00:15 - 00:45,CS151-1,help1,
kyle,2025-05-30,00:15 - 00:45,CS151-1,help1,
kyle,2025-05-01,00:15 - 00:45,CS151-1,help,
ben,2025-05-01,00:15 - 00:45,CS151-1,hey345,
ben,2025-05-01,00:15 - 00:45,CS151-1,hey345123231,
bob,2025-04-30,00:15 - 00:45,CS151-1,hey345,
bob,2025-04-29,00:15 - 00:45,CS151-1,hey,
bob,2025-04-27,00:15 - 00:45,CS151-1,hey,
bob,2025-04-26,00:15 - 00:45,CS151-1,help,
brian,2025-05-02,00:15 - 00:45,CS151-1,ineedhelp,
